"1107198053";"G.W. Crabtree, U. Welp, Z.L. Xiao, J.S. Jiang, V.K. Vlasko-Vlasov, S.D. Bader, J. Liang, H. Chik, and J. M. Xu, ""Vortices in Dense Self-Assembled Hole Arrays"", Physica C L-24, 2002";"2002"
"1106947495";"Barrett, R.P., & Sachs, H.T. (2006). Epilepsy and seizure disorders. In L. Phelps (Ed.), Chronic health disorders in children: Collaborative medical and psychosocial interventions. Washington, DC: American Psychological Association.";"2006"
"1107198050";"J.M. Xu, (invited), ""Nanotube Electronics"", Proceedings of IEEE, Special Issue on Nanoelectronics and Giga-scale Systems, in press.";"2002"
"1107198052";"J.M. Xu, (Invited), ""Carbon Nanotube IR properties and applications"", Proc. SPIE, vol 4823, 88-95, 2002.";"2002"
"1107198051";"C. Papadopoulos, A. Rakitin, and J.M. Xu, ""Carbon Nanotube Self-doping"", Phys. Rev. B., 67, 033411, 2003.";"2003"
"1107198054";"U. Welp, Z.L. Xiao, J.S. Jiang, V.K. Vlasko-Vlasov, S.D. Bader, G.W. Crabtree, J. Liang, H. Chik, and J.M. Xu, ""Superconducting transition and vortex pinning in Nb films patterned with nanoscale hole arrays"", Phys. Rev. B., 66, 212507-1 - 212507-4, 2002";"2002"
"1107198069";"J.M. Xu, ""Plastic Electronics and Future Trends in Microelectronics"", (Invited), Synthetic Metals, 115, 1-3, 2000.";"2000"
"1107198068";"A. Rakitin, C. Papadopoulos and J.M. Xu, ""Electronic Properties of Amorphous Carbon Nanotubes"", Phys. Rev. B., 61, 5793-5796, 2000.";"2000"
"1107198067";"J.M. Xu, (Invited) ""Highly Ordered Carbon Nanotube Arrays and IR Detection"", Infrared Physics & Technology, 42, 485-491, 2001.";"2001"
"1107198066";"Papadopoulos C., Rakitin A., Li J., Vedeneev A.S., and Xu J.M, ""Electronic transport in Y-junction carbon nanotubes"", Physics Review Letters, 85(16), 3476-3479, 2000.";"2000"
"1107198065";"A. Rakitin, Aich,P., Papadopoulos,C., Kobzar,Yu., Vedeneev, A.S., Lee, J.S., J.M. Xu, "" Metallic conduction through engineered DNA: DNA nanoelectronic building block"", Phys. Rev. Lett., 86(16), 3670-3673, 2001.";"2001"
"1107198064";"A.J. Yin, J. Li, W. Jian, A.J. Bennett, J.M. Xu, ""Fabrication of Highly Ordered Metallic Nanowire Arrays by Electrodeposition"", Appl. Phys. Lett., 79(7), 1039-1041, 2001";"2001"
"1107198063";"B. Hunt, M. Honek, F. Noca, and J.M. Xu, ""Waveguide-Embedded Carbon Nanotube Array RF Filter and RF Filter Bank"", NASA Tech Brief Journal, ( Class 1 NASA Tech Brief Award).";NULL
